tilt,azimuth,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ac_annual,poa_annual_kWh_m2,solrad_annual_kWh_m2_day,capacity_factor
35,0,14.15,15.45,39.44,64.73,98.63,106.57,106.51,79.60,44.92,19.01,11.76,10.98,611.74,816.7,2.229,6.98
35,45,20.62,31.62,59.14,74.98,101.22,110.65,110.65,89.28,64.42,37.89,21.37,14.26,736.10,966.1,2.641,8.40
35,90,48.55,60.90,85.85,91.26,112.65,119.24,121.22,105.23,88.84,67.33,53.17,37.01,991.26,1262.5,3.455,11.32
35,135,74.63,84.46,106.60,103.90,121.81,123.40,127.77,116.83,106.69,90.78,80.97,60.68,1198.52,1509.5,4.134,13.68
35,180,89.86,98.19,115.92,107.18,124.92,120.85,127.48,118.73,112.29,105.70,97.59,76.54,1295.26,1625.3,4.452,14.79
35,225,75.58,85.10,106.03,102.51,124.97,118.67,126.66,114.32,102.06,94.81,82.25,64.02,1196.99,1510.8,4.137,13.66
35,270,46.30,57.61,82.91,89.50,117.84,113.49,120.32,102.40,81.27,67.94,49.97,38.50,968.06,1237.6,3.385,11.05
35,315,20.48,30.60,57.56,72.84,103.92,104.60,107.74,85.43,58.86,39.17,20.78,14.86,716.85,944.9,2.582,8.18
60,0,14.52,12.32,20.77,24.90,50.15,60.49,56.60,31.94,17.38,13.21,9.82,8.89,321.00,461.5,1.260,3.66
60,45,16.41,20.47,39.94,50.49,68.09,77.49,77.45,61.16,42.29,24.64,13.46,9.67,501.55,667.0,1.823,5.73
60,90,44.81,52.95,72.33,72.78,86.29,93.33,95.25,83.98,73.52,57.51,46.41,31.92,811.08,1035.5,2.835,9.26
60,135,76.65,79.57,95.95,86.86,95.55,96.56,101.30,96.55,93.88,83.72,79.31,60.83,1046.74,1315.9,3.605,11.95
60,180,98.18,100.91,108.84,88.43,95.59,88.58,95.44,95.07,100.93,106.03,104.73,83.49,1166.23,1458.6,3.999,13.31
60,225,77.76,82.48,96.47,85.06,99.28,90.51,99.74,93.29,88.63,91.35,82.06,64.70,1051.34,1326.4,3.633,12.00
60,270,40.83,47.74,67.61,71.23,93.13,87.59,95.22,81.51,63.44,56.19,41.18,32.59,778.25,999.7,2.735,8.88
60,315,16.61,19.26,38.10,47.63,69.95,69.53,72.85,55.63,36.55,24.53,12.84,9.94,473.43,634.1,1.732,5.40
70,0,14.98,11.37,20.05,19.78,34.48,40.88,37.88,23.02,15.78,12.09,8.99,8.00,247.30,358.6,0.980,2.82
70,45,16.29,17.81,35.39,42.80,57.40,65.93,66.27,51.98,35.97,21.36,11.79,8.55,431.52,577.8,1.579,4.93
70,90,42.77,48.87,66.38,64.80,75.63,82.29,84.28,74.67,66.26,52.56,42.81,29.21,730.53,934.2,2.558,8.34
70,135,74.91,74.81,88.91,77.40,82.78,83.32,88.22,85.53,85.51,77.88,75.54,58.40,953.22,1199.4,3.287,10.88
70,180,97.97,97.53,101.69,77.18,80.35,72.45,79.12,81.60,91.88,101.33,102.88,82.71,1066.71,1335.2,3.662,12.18
70,225,76.12,78.17,89.56,75.64,86.36,77.40,86.42,82.19,80.36,86.24,78.58,62.51,959.55,1213.0,3.323,10.95
70,270,38.58,43.12,61.25,63.48,82.40,76.95,84.47,72.68,56.31,50.92,37.28,29.64,697.09,897.7,2.455,7.96
70,315,16.52,16.67,33.48,40.32,59.01,58.30,61.67,46.88,30.80,20.94,11.18,8.73,404.51,545.3,1.489,4.62
90,0,18.10,11.29,21.61,18.04,28.08,29.59,28.98,20.10,15.36,11.82,8.80,7.56,219.34,311.9,0.852,2.50
90,45,18.84,15.49,31.63,33.66,44.63,50.95,52.13,40.35,28.72,18.03,10.50,7.78,352.70,478.8,1.308,4.03
90,90,40.43,41.65,57.15,51.78,59.87,65.45,67.45,59.27,54.00,44.37,36.13,24.75,602.31,778.8,2.132,6.88
90,135,70.59,64.37,75.12,59.78,61.44,60.42,65.11,64.59,68.63,65.57,66.07,52.06,773.75,980.3,2.687,8.83
90,180,95.63,86.81,84.78,53.20,49.69,40.85,46.11,52.42,70.70,87.70,94.79,78.61,841.27,1067.8,2.930,9.60
90,225,72.07,67.32,75.67,58.17,64.11,55.81,63.40,61.87,63.60,73.88,69.44,57.02,782.38,996.2,2.730,8.93
90,270,36.85,35.96,52.39,51.57,66.30,61.11,67.87,58.60,45.34,42.29,30.71,25.20,574.17,747.8,2.045,6.55
90,315,19.03,14.54,30.05,31.99,46.15,45.08,48.27,36.73,24.89,17.55,10.01,7.92,332.21,453.9,1.240,3.79
