tilt,azimuth,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ac_annual,solrad_annual_kWh_m2_day,capacity_factor
35,0,16.58,17.55,44.09,71.20,109.57,120.53,120.40,90.07,50.78,21.96,13.55,12.50,688.78,2.368,7.86
35,45,23.57,34.97,65.28,82.19,112.36,124.98,124.92,100.73,72.16,42.72,24.03,16.05,823.95,2.793,9.41
35,90,53.61,66.46,94.51,100.93,125.72,135.46,138.05,119.97,99.82,75.00,58.56,40.54,1108.64,3.657,12.66
35,135,84.04,94.28,117.48,113.53,134.85,139.08,143.91,131.43,119.51,102.92,92.15,68.47,1341.65,4.381,15.32
35,180,98.50,106.70,126.41,116.89,138.17,136.28,143.54,133.32,124.63,117.07,107.31,83.85,1432.66,4.664,16.35
35,225,83.78,92.56,115.77,111.87,138.24,133.89,142.66,128.46,113.42,105.09,90.37,71.78,1327.89,4.344,15.16
35,270,52.81,64.61,92.52,98.61,130.48,128.16,135.66,115.64,92.10,77.98,56.81,43.76,1089.14,3.604,12.43
35,315,23.46,33.92,64.18,80.44,116.12,119.18,122.60,97.26,66.66,44.31,23.50,16.69,808.32,2.751,9.23
60,0,19.40,15.37,26.10,30.08,59.52,72.21,67.81,39.19,22.01,16.86,12.47,11.12,392.14,1.433,4.48
60,45,21.48,24.26,47.00,57.88,79.19,91.11,91.01,71.82,49.71,29.59,16.49,11.98,591.53,2.023,6.75
60,90,52.28,59.49,82.97,84.75,101.76,111.32,114.78,100.92,85.81,65.96,52.58,36.19,948.81,3.134,10.83
60,135,91.45,94.13,110.62,98.20,109.82,112.54,118.08,112.02,109.33,100.16,95.95,72.18,1224.48,3.991,13.98
60,180,111.64,112.00,121.81,99.24,109.63,103.65,111.24,109.82,114.63,119.67,118.15,94.77,1326.25,4.306,15.14
60,225,91.03,91.84,108.46,95.63,113.72,105.90,116.13,107.91,101.05,103.35,93.31,76.92,1205.26,3.940,13.76
60,270,51.63,57.26,81.01,81.93,106.92,102.63,111.08,95.38,76.47,69.62,50.38,40.15,924.44,3.067,10.55
60,315,21.85,23.02,46.18,56.34,83.37,84.02,87.67,67.75,44.49,30.20,16.01,12.29,573.18,1.971,6.54
70,0,20.70,14.59,25.82,24.74,42.53,50.55,47.15,29.44,20.50,15.87,11.76,10.33,313.99,1.152,3.58
70,45,22.15,21.64,42.61,49.89,67.91,78.66,79.02,61.99,43.05,26.23,14.87,10.94,518.96,1.783,5.92
70,90,50.94,55.42,77.20,76.76,90.85,99.79,103.51,91.36,78.32,60.85,48.94,33.47,867.41,2.868,9.90
70,135,90.77,89.94,103.94,88.48,96.39,98.31,104.11,100.32,100.83,94.66,92.91,70.28,1130.93,3.688,12.91
70,180,112.32,108.83,114.78,87.51,93.46,86.13,93.58,95.30,105.15,115.00,116.77,94.59,1223.44,3.977,13.97
70,225,90.32,87.56,101.66,85.90,100.13,91.81,101.87,96.06,92.39,98.16,90.07,75.29,1111.23,3.639,12.69
70,270,50.40,52.92,75.12,74.03,95.71,91.30,99.67,86.02,69.30,64.65,46.74,37.48,843.33,2.803,9.63
70,315,22.58,20.47,41.81,48.89,72.02,72.11,75.85,58.57,38.55,26.58,14.43,11.14,502.99,1.737,5.74
90,0,23.66,12.89,25.33,20.13,31.49,34.02,33.45,23.22,17.64,13.71,10.19,8.60,254.33,0.926,2.90
90,45,24.46,17.43,36.15,37.00,49.54,57.80,59.22,45.79,32.38,20.56,12.04,8.84,401.20,1.401,4.58
90,90,47.72,45.67,64.47,59.29,68.53,76.09,80.01,70.56,61.73,49.57,40.00,27.16,690.80,2.308,7.89
90,135,84.90,76.01,85.69,65.87,68.10,68.34,73.96,73.33,78.74,78.14,80.36,61.59,895.04,2.937,10.22
90,180,108.13,94.80,93.38,58.10,55.07,46.56,52.53,59.22,78.61,97.40,105.60,87.48,936.87,3.088,10.69
90,225,84.20,73.49,83.59,63.46,70.80,63.22,71.77,69.72,70.76,82.03,77.58,66.83,877.45,2.892,10.02
90,270,47.59,43.03,62.41,57.51,73.17,69.10,76.72,66.51,53.98,52.48,37.83,31.07,671.39,2.255,7.66
90,315,24.79,16.47,35.66,36.63,53.18,53.00,56.63,43.68,29.36,20.70,11.73,8.98,390.82,1.371,4.46
