occupancy,consumption_kwh,orientation,size_wdc,battery_kwh,pv_kwh,pv_over_cons,direct_kwh,exported_kwh,charged_kwh,discharged_kwh,self_consumption_fraction,effective_savings_fraction,savings_usd,savings_usd_if_100pct
base,1200,t90_s,400,0,336.5,0.280,246.7,89.8,0.0,0.0,0.7331,0.7331,86,118
base,1200,t90_s,400,1,336.5,0.280,246.7,3.0,86.8,78.1,0.9911,0.9653,114,118
base,1200,t90_s,400,2,336.5,0.280,246.7,0.0,89.8,80.8,1.0000,0.9733,115,118
base,1200,t90_s,800,0,673.0,0.561,332.4,340.7,0.0,0.0,0.4938,0.4938,116,236
base,1200,t90_s,800,1,673.0,0.561,332.4,139.7,200.9,180.8,0.7924,0.7625,180,236
base,1200,t90_s,800,2,673.0,0.561,332.4,43.0,297.6,267.7,0.9361,0.8916,210,236
base,1200,t90_s,1200,0,1009.5,0.841,376.9,632.7,0.0,0.0,0.3733,0.3733,132,353
base,1200,t90_s,1200,1,1009.5,0.841,376.9,362.9,269.8,242.8,0.6406,0.6138,217,353
base,1200,t90_s,1200,2,1009.5,0.841,376.9,208.7,424.0,381.4,0.7933,0.7511,265,353
base,1200,t90_s,1600,0,1346.0,1.122,406.1,940.0,0.0,0.0,0.3017,0.3017,142,471
base,1200,t90_s,1600,1,1346.0,1.122,406.1,627.5,312.4,281.2,0.5338,0.5106,241,471
base,1200,t90_s,1600,2,1346.0,1.122,406.1,427.2,512.8,461.4,0.6827,0.6444,304,471
base,1200,t35_s,400,0,518.1,0.432,340.7,177.4,0.0,0.0,0.6577,0.6577,119,181
base,1200,t35_s,400,1,518.1,0.432,340.7,6.6,170.7,153.7,0.9872,0.9543,173,181
base,1200,t35_s,400,2,518.1,0.432,340.7,0.0,177.4,159.6,1.0000,0.9658,175,181
base,1200,t35_s,800,0,1036.2,0.864,416.8,619.4,0.0,0.0,0.4023,0.4023,146,363
base,1200,t35_s,800,1,1036.2,0.864,416.8,316.4,303.0,272.7,0.6947,0.6654,241,363
base,1200,t35_s,800,2,1036.2,0.864,416.8,122.4,497.0,447.1,0.8819,0.8338,302,363
base,1200,t35_s,1200,0,1554.3,1.295,453.1,1101.2,0.0,0.0,0.2915,0.2915,159,544
base,1200,t35_s,1200,1,1554.3,1.295,453.1,766.3,334.9,301.4,0.5070,0.4854,264,544
base,1200,t35_s,1200,2,1554.3,1.295,453.1,516.3,584.9,526.3,0.6678,0.6301,343,544
base,1200,t35_s,1600,0,2072.4,1.727,474.2,1598.2,0.0,0.0,0.2288,0.2288,166,725
base,1200,t35_s,1600,1,2072.4,1.727,474.2,1244.9,353.3,318.0,0.3993,0.3823,277,725
base,1200,t35_s,1600,2,2072.4,1.727,474.2,977.8,620.4,558.2,0.5282,0.4982,361,725
base,1200,t60_s,400,0,466.5,0.389,310.5,156.0,0.0,0.0,0.6657,0.6657,109,163
base,1200,t60_s,400,1,466.5,0.389,310.5,7.8,148.2,133.4,0.9834,0.9516,155,163
base,1200,t60_s,400,2,466.5,0.389,310.5,0.0,156.0,140.4,1.0000,0.9666,158,163
base,1200,t60_s,800,0,933.0,0.777,386.1,546.9,0.0,0.0,0.4138,0.4138,135,327
base,1200,t60_s,800,1,933.0,0.777,386.1,260.5,286.5,257.8,0.7208,0.6901,225,327
base,1200,t60_s,800,2,933.0,0.777,386.1,95.2,451.7,406.3,0.8979,0.8493,277,327
base,1200,t60_s,1200,0,1399.5,1.166,422.7,976.7,0.0,0.0,0.3021,0.3021,148,490
